Sample in Buffer,Sample in Window,TRIGGER,app_cmd[2:0],app_wdf_data[255:0],app_addr[28:0],app_rd_data[255:0],app_rd_data_reg[255:0],app_en,app_rd_data_end,app_rd_data_valid,app_rdy,app_wdf_end,app_wdf_rdy,app_wdf_wren,ui_clk
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
68,68,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001840,00a100a100a100a100a100a100a100a100a100a100a100a100a100a100a100a1,00a000a000a000a000a000a000a000a000a000a000a000a000a000a000a000a0,1,1,1,1,0,1,0,1
69,69,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001860,00a200a200a200a200a200a200a200a200a200a200a200a200a200a200a200a2,00a100a100a100a100a100a100a100a100a100a100a100a100a100a100a100a1,1,1,1,1,0,1,0,1
70,70,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001880,00a300a300a300a300a300a300a300a300a300a300a300a300a300a300a300a3,00a200a200a200a200a200a200a200a200a200a200a200a200a200a200a200a2,1,1,1,1,0,1,0,1
71,71,0,1,0000000000000000000000000000000000000000000000000000000000000000,000018a0,00a400a400a400a400a400a400a400a400a400a400a400a400a400a400a400a4,00a300a300a300a300a300a300a300a300a300a300a300a300a300a300a300a3,1,1,1,0,0,1,0,1
72,72,0,1,0000000000000000000000000000000000000000000000000000000000000000,000018a0,00a500a500a500a500a500a500a500a500a500a500a500a500a500a500a500a5,00a400a400a400a400a400a400a400a400a400a400a400a400a400a400a400a4,0,1,1,0,0,1,0,1
73,73,0,1,0000000000000000000000000000000000000000000000000000000000000000,000018a0,00a600a600a600a600a600a600a600a600a600a600a600a600a600a600a600a6,00a500a500a500a500a500a500a500a500a500a500a500a500a500a500a500a5,0,1,1,0,0,1,0,1
74,74,0,1,0000000000000000000000000000000000000000000000000000000000000000,000018a0,00a900a900a900a900a900a900a900a900a900a900a900a900a900a900a900a9,00a600a600a600a600a600a600a600a600a600a600a600a600a600a600a600a6,0,1,1,1,0,1,0,1
75,75,0,1,0000000000000000000000000000000000000000000000000000000000000000,000018c0,00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa,00a900a900a900a900a900a900a900a900a900a900a900a900a900a900a900a9,1,1,1,0,0,1,0,1
76,76,0,1,0000000000000000000000000000000000000000000000000000000000000000,000018c0,00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab,00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa00aa,0,1,1,0,0,1,0,1
77,77,0,1,0000000000000000000000000000000000000000000000000000000000000000,000018c0,00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac,00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab00ab,0,1,1,0,0,1,0,1
